Garis Kemiskinan Menurut Kabupaten Kota (Rupiah/Kapita/Bulan),,
NAMA WILAYAH,TAHUN,GARIS KEMISKINAN (Rupiah/Kapita/Bulan)
BATANG HARI,2022,497857
BATANG HARI,2023,540168
MUARO JAMBI,2016,255918
MUARO JAMBI,2017,295983
MUARO JAMBI,2018,353583
MUARO JAMBI,2019,375372
MUARO JAMBI,2020,409104
MUARO JAMBI,2021,425294
MUARO JAMBI,2022,462035
MUARO JAMBI,2023,535244
TANJUNG JABUNG TIMUR,2016,322389
TANJUNG JABUNG TIMUR,2017,338963
TANJUNG JABUNG TIMUR,2018,361574
TANJUNG JABUNG TIMUR,2019,374735
TANJUNG JABUNG TIMUR,2020,392778
TANJUNG JABUNG TIMUR,2021,406772
TANJUNG JABUNG TIMUR,2022,468201
TANJUNG JABUNG TIMUR,2023,514905
TANJUNG JABUNG BARAT,2016,303479
TANJUNG JABUNG BARAT,2017,314436
TANJUNG JABUNG BARAT,2018,348495
TANJUNG JABUNG BARAT,2019,364012
TANJUNG JABUNG BARAT,2020,396113
TANJUNG JABUNG BARAT,2021,409631
TANJUNG JABUNG BARAT,2022,453956
TANJUNG JABUNG BARAT,2023,499318
TEBO,2016,338160
TEBO,2017,363698
TEBO,2018,379390
TEBO,2019,404473
TEBO,2020,435523
TEBO,2021,448461
TEBO,2022,485883
TEBO,2023,528310
BUNGO,2016,292573
BUNGO,2017,310428
BUNGO,2018,366226
BUNGO,2019,390439
BUNGO,2020,422801
BUNGO,2021,436020
BUNGO,2022,470545
BUNGO,2023,517119
KOTA JAMBI,2016,397088
KOTA JAMBI,2017,413722
KOTA JAMBI,2018,466854
KOTA JAMBI,2019,488034
KOTA JAMBI,2020,529090
KOTA JAMBI,2021,563403
KOTA JAMBI,2022,605556
KOTA JAMBI,2023,667447
KOTA SUNGAI PENUH,2016,317556
KOTA SUNGAI PENUH,2017,334856
KOTA SUNGAI PENUH,2018,351391
